"id","car_id","sort_in_car","title","author_id","is_lost","text_range","incipit","additional_source","is_author_insecure","first_page_id"
"TX_A0001_000063","TR_A_0001","63","Ps 62 (Deus deus meus ad te de luce uigilo)","","0","135r–136v","","","0","22_62_Ps62Deusdeusmeusadtedeluceuigilo_276_Bl135r"
"TX_A0001_000064","TR_A_0001","64","Ps 63 (Exaudi deus orationem meam)","","0","136v–138r","","","0","22_63_Ps63Exaudideusorationemmeam_279_Bl136v"
"TX_A0001_000065","TR_A_0001","65","Ps 64 (Te decet ijmpnus deus)","","0","138r–140r","","","0","22_64_Ps64Tedecetijmpnusdeus_282_Bl138r"
"TX_A0001_000066","TR_A_0001","66","Ps 65 (Iubilate deo omnis terra)","","0","140r–143r","","","0","22_65_Ps65Iubilatedeoomnisterra_286_Bl140r"
"TX_A0001_000067","TR_A_0001","67","Ps 66 (Deus miseriatur nostri)","","0","143r–143v","","","0","22_66_Ps66Deusmiseriaturnostri_292_Bl143r"
"TX_A0001_000068","TR_A_0001","68","Ps 67 (Exurgat deus et dissipentur inimici eius)","","0","143v–149r","","","0","22_67_Ps67Exurgatdeusetdissipenturinimicieius_293_Bl143v"
"TX_A0001_000069","TR_A_0001","69","Ps 68 (Saluum me fac deus)","","0","149r–154r","","","0","22_68_Ps68Saluummefacdeus_304_Bl149r"
"TX_A0001_000070","TR_A_0001","70","Ps 69 (Deus in adiutorium meum intende)","","0","154v–155r","","","0","22_69_Ps69Deusinadiutoriummeumintende_315_Bl154v"
"TX_A0001_000071","TR_A_0001","71","Ps 70 (In te domine speraui)","","0","155r–159r","","","0","22_70_Ps70Intedominesperaui_316_Bl155r"
"TX_A0001_000072","TR_A_0001","72","Ps 71 (Deus iudicium tuum regi da)","","0","159r–161v","","","0","22_71_Ps71Deusiudiciumtuumregida_324_Bl159r"
"TX_A0001_000073","TR_A_0001","73","Ps 72 (Quam bonus israhel deus)","","0","161v–165r","","","0","22_72_Ps72Quambonusisraheldeus_329_Bl161v"
"TX_A0001_000074","TR_A_0001","74","Ps 73 (Ut quid deus repulisti nos in finem)","","0","165r–168r","","","0","22_73_Ps73Utquiddeusrepulistinosinfinem_336_Bl165r"
"TX_A0001_000075","TR_A_0001","75","Ps 74 (Confitebimur tibi deus)","","0","168r–169v","","","0","22_74_Ps74Confitebimurtibideus_342_Bl168r"
"TX_A0001_000076","TR_A_0001","76","Ps 75 (Notus in iudea deus)","","0","169v–171r","","","0","22_75_Ps75Notusiniudeadeus_345_Bl169v"
"TX_A0001_000077","TR_A_0001","77","Ps 76 (Uoce mea ad domini clamaui)","","0","171r–173v","","","0","22_76_Ps76Uocemeaaddominiclamaui_348_Bl171r"
"TX_A0001_000078","TR_A_0001","78","Ps 77 (Attendite popule meus legem meam)","","0","173v–184r","","","0","22_77_Ps77Attenditepopulemeuslegemmeam_353_Bl173v"
"TX_A0001_000079","TR_A_0001","79","Ps 78 (Deus uenerunt gentes)","","0","184r–186r","","","0","22_78_Ps78Deusueneruntgentes_374_Bl184r"
"TX_A0001_000080","TR_A_0001","80","Ps 79 (Qui regis israel intende)","","0","186r–188v","","","0","22_79_Ps79Quiregisisraelintende_378_Bl186r"
"TX_A0001_000081","TR_A_0001","81","Ps 80 (Exultate deo adiutori nostro)","","0","188v–191r","","","0","22_80_Ps80Exultatedeoadiutorinostro_383_Bl188v"
"TX_A0001_000082","TR_A_0001","82","Ps 81 (Deus stetit in synagoga deorum)","","0","191r–192r","","","0","22_81_Ps81Deusstetitinsynagogadeorum_388_Bl191r"
"TX_A0001_000083","TR_A_0001","83","Ps 82 (Deus quis si[mi]lis erit tibi)","","0","192r–194r","","","0","22_82_Ps82Deusquissimiliserittibi_390_Bl192r"
"TX_A0001_000084","TR_A_0001","84","Ps 83 (Quam dil[e]c[t]am tabernacula tua)","","0","194r–196r","","","0","22_83_Ps83Quamdilectamtabernaculatua_394_Bl194r"
"TX_A0001_000085","TR_A_0001","85","Ps 84 (Benedixisti domine terram tuam)","","0","196r–198r","","","0","22_84_Ps84Benedixistidomineterramtuam_400_Bl196r"
"TX_A0001_000086","TR_A_0001","86","Ps 85 (Inclina domine aurem tuam michi)","","0","198r–200v","","","0","22_85_Ps85Inclinadomineauremtuammichi_404_Bl198r"
"TX_A0001_000087","TR_A_0001","87","Ps 86 (Fundamenta eius in montibus sanctis)","","0","200v–201r","","","0","22_86_Ps86Fundamentaeiusinmontibussanctis_409_Bl200v"
"TX_A0001_000088","TR_A_0001","88","Ps 87 (Domine deus salutis mee)","","0","201r–203v","","","0","22_87_Ps87Dominedeussalutismee_410_Bl201r"
"TX_A0001_000089","TR_A_0001","89","Ps 88 (Misericordias domini in eternum cantabo)","","0","204r–210v","","","0","22_88_Ps88Misericordiasdominiineternumcantabo_416_Bl204r"
"TX_A0001_000090","TR_A_0001","90","Ps 89 (Domine refugium facta es nobis)","","0","210v–213r","","","0","22_89_Ps89Dominerefugiumfactaesnobis_429_Bl210v"
"TX_A0001_000091","TR_A_0001","91","Ps 90 (Qui habitat in aduitorio altissimi)","","0","213r–215v","","","0","22_90_Ps90Quihabitatinaduitorioaltissimi_434_Bl213r"
"TX_A0001_000092","TR_A_0001","92","Ps 91 (Bonum est confiteri domino)","","0","215v–217v","","","0","22_91_Ps91Bonumestconfiteridomino_439_Bl215v"
"TX_A0001_000093","TR_A_0001","93","Ps 92 (Dominus regnauit decore indutus est)","","0","217v–218v","","","0","22_92_Ps92Dominusregnauitdecoreindutusest_443_Bl217v"
"TX_A0001_000094","TR_A_0001","94","Ps 93 (Deus ultionum dominus)","","0","218v–222v","","","0","22_93_Ps93Deusultionumdominus_445_Bl218v"
"TX_A0001_000095","TR_A_0001","95","Ps 94 (Uenite exultemus domino)","","0","222v–224r","","","0","22_94_Ps94Ueniteexultemusdomino_453_Bl222v"
"TX_A0001_000096","TR_A_0001","96","Ps 95 (Cantate domino canticum nouum)","","0","224r–226r","","","0","22_95_Ps95Cantatedominocanticumnouum_456_Bl224r"
"TX_A0001_000097","TR_A_0001","97","Ps 96 (Dominus regnauit exultem terra)","","0","226r–227v","","","0","22_96_Ps96Dominusregnauitexultemterra_460_Bl226r"
"TX_A0001_000098","TR_A_0001","98","Ps 97 (Cantate domino canticum nouum)","","0","227v–229r","","","0","22_97_Ps97Cantatedominocanticumnouum_463_Bl227v"
"TX_A0001_000099","TR_A_0001","99","Ps 98 (Dominus regnauit irascantur populi)","","0","229r–230v","","","0","22_98_Ps98Dominusregnauitirascanturpopuli_466_Bl229r"
"TX_A0001_000100","TR_A_0001","100","Ps 99 (Iubilate deo omnis terra)","","0","230v–231v","","","0","22_99_Ps99Iubilatedeoomnisterra_469_Bl230v"
"TX_A0001_000101","TR_A_0001","101","Ps 100 (Misericordiam et iudicium cantabo te domine)","","0","231v–232v","","","0","22_100_Ps100Misericordiametiudiciumcantabotedomine_471_Bl231v"
