"id","cognomen","relation_to_gsmb","gnd_id","gnd_id_alternate"
"P_A_0238","Aristoteles","Textautor/in","118650130",""
"P_A_0239","Servius","Textautor/in","118796313",""
"P_A_0240","Hieronymus","Textautor/in","118550853",""
"P_A_0241","Isidor von Sevilla","Textautor/in","118555995",""
"P_A_0242","Valerius Maximus","Textautor/in","118625969",""
"P_A_0243","Ps.-Lukian","Textautor/in","118575228",""
"P_A_0244","Cicero","Textautor/in","118520814",""
"P_A_0245","Johannes von Salisbury","Textautor/in","11855803X ",""
"P_A_0246","Prudentius","Textautor/in","118596829",""
"P_A_0247","Persius","Textautor/in","118592815",""
"P_A_0248","Tibull","Textautor/in","11862251X",""
"P_A_0249","Bonifatius VIII., Papst","Textautor/in","",""
"P_A_0250","Manilius","Textautor/in","",""
"P_A_0251","Johannes Chrysostomos","Textautor/in","118557831",""
"P_A_0252","Marbodus Redonensis","Textautor/in","118781715",""
"P_A_0253","Johannes de Balbis Ianuensis","Textautor/in","100948391",""
"P_A_0254","Flavius Josephus","Textautor/in","118640003",""
"P_A_0255","Rupert von Deutz","Textautor/in","118604198",""
"P_A_0256","Eusebius Caesarea","Textautor/in","118531425",""
"P_A_0257","Eberhardus Coloniensis","Textautor/in","100940293",""
"P_A_0258","Sigismund Meisterlin","Textautor/in","100308309",""
"P_A_0259","Boethius","Textautor/in","11851282X",""
"P_A_0260","Ugolino da Pisa","Textautor/in","120529092",""
"P_A_0261","Ps.-Cyrillus (Bongiovanni da Messina?)","Textautor/in","102425558","102426910"
"P_A_0262","Plautus","Textautor/in","118594974",""
"P_A_0263","Uguccione da Pisa","Textautor/in","118707973",""
"P_A_0264","Johannes Andreae","Textautor/in","119244071",""
"P_A_0265","Origenes","Textautor/in","118590235",""
"P_A_0266","Ps.-Seneca","Textautor/in","118613200",""
"P_A_0267","Auctor","Textautor/in","",""
"P_A_0268","Isotta Nogarola","Textautor/in","10312585X",""
"P_A_0269","Humbertus Romanus","Textautor/in","119066181",""
"P_A_0270","Rodericus Zamorensis","Textautor/in","119222345",""
"P_A_0271","Ps.-Augustinus","Textautor/in","118505114",""
"P_A_0272","Jordan von Quedlinburg","Textautor/in","100950744",""
"P_A_0273","Ps.-Boethius","Textautor/in","11851282X",""
"P_A_0274","Petrus von Blois","Textautor/in","118923927",""
"P_A_0275","Stephanus Fliscus","Textautor/in","100787487",""
"P_A_0276","Buonaccorso da Montemagno","Textautor/in","104213817","1052888291"
"P_A_0277","Johannes Heroldus (Discipulus)","Textautor/in","100162495",""
"P_A_0278","Sedulius","Textautor/in","118795988",""
"P_A_0279","Nikolaus von Lyra","Textautor/in","119238683",""
"P_A_0280","Anselm von Canterbury","Textautor/in","118503278",""
"P_A_0281","Aethicus","Textautor/in","118647199",""
"P_A_0282","Guigo der Kartäuser","Textautor/in","10096639X",""
"P_A_0283","Simon de Cassia","Textautor/in","10096091X",""
"P_A_0284","Adolf von Wien","Textautor/in","100935419",""
"P_A_0285","Ps.-Methodius","Textautor/in","118581422",""
"P_A_0286","Bartholomaeus de Chaimis","Textautor/in","102425175",""
"P_A_0287","Peter von Rosenheim","Textautor/in","100957935",""
"P_A_0288","Paulus Burgensis","Textautor/in","119105144",""
"P_A_0289","Wilhelm Peraldus","Textautor/in","118719351",""
