"id","src_car","src_text","src_belegstelle","target_car","target_text","target_belegstelle","type","insecurity","general_insecurity","bemerkungen","file_name"
"VER_x_0149_000003","TR_A_0015","TX_A0015_000017","BEL_s_TR_A_0015_220r_$1","TR_X_0073","TX_X0075_000002","BEL_t_TR_X_0073_KartaLiber2Rubrica2$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000004","TR_A_0032","TX_A0032_000055","BEL_s_TR_A_0032_190v_$0","TR_X_0073","TX_X0075_000002","BEL_t_TR_X_0073_KartaLiber2Rubrica2$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000005","TR_A_0022","TX_A0022_000041","BEL_s_TR_A_0022_245v_$1","TR_X_0073","TX_X0075_000002","BEL_t_TR_X_0073_KartaLiber2Capitulum2$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000006","TR_A_0032","TX_A0032_000022","BEL_s_TR_A_0032_55v_$7","TR_X_0073","TX_X0075_000003","BEL_t_TR_X_0073_Karta 161Prologus$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000007","TR_A_0014","TX_A0014_000047","BEL_s_TR_A_0014_252r_a_$0","TR_X_0073","TX_X0075_000004","","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000008","TR_A_0015","TX_A0015_000018","BEL_s_TR_A_0015_242r_$2","TR_X_0073","TX_X0075_000004","BEL_t_TR_X_0073_Karta 27_Tractatusdeextremoiudicio()$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000009","TR_A_0014","TX_A0014_000047","BEL_s_TR_A_0014_252r_$2","TR_X_0073","TX_X0075_000004","","0","0","0","Vgl. Joachimsohn, S. 267.","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000010","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_13v_a_$2","TR_X_0073","TX_X0075_000004","BEL_t_TR_X_0073_KartaSextusMillenarius$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000011","TR_A_0031","TX_A0031_000004","BEL_s_TR_A_0031_163v_$2","TR_X_0073","TX_X0075_000005","BEL_t_TR_X_0073_Karta 284$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000012","TR_A_0034","TX_A0033_000002","BEL_s_TR_A_0034_88r_b_$3","TR_X_0073","TX_X0075_000005","BEL_t_TR_X_0073_Karta 284$0","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000013","TR_A_0035","TX_A0034_000023","BEL_s_TR_A_0035_160r_b_$3","TR_X_0073","TX_X0075_000005","","0","0","0","Vgl. Joachimsohn, S. 267. (Fortunatus, Carmina X,1; Sedulius, Opus paschale II, 230)?","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000014","TR_A_0035","TX_A0034_000023","BEL_s_TR_A_0035_160r_b_$4","TR_X_0073","TX_X0075_000005","","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000015","TR_A_0034","TX_A0033_000001","BEL_s_TR_A_0034_Vorsatzbl.rr_Vorsatzbl.r_$3","TR_X_0073","TX_X0075_000006","","0","0","0","","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0150_000001","TR_A_0032","TX_A0032_000073","BEL_s_TR_A_0032_279v_$1","TR_X_0074","TX_X0076_000001","BEL_t_TR_X_0074_Karta 249$0","0","0","0","","x_Augustinus_Datus__Elegantiolae"
"VER_x_0151_000001","TR_A_0027","TX_A0027_000001","BEL_s_TR_A_0027_292v_a_$0","TR_X_0075","TX_X0077_000001","BEL_t_TR_X_0075_Karta Dominica20postoctavaspentecostes$0","0","0","0","","x_Gregorius__Homiliae"
"VER_x_0151_000002","TR_A_0001","TX_A0001_000050","BEL_s_TR_A_0001_112v_$0","TR_X_0075","TX_X0077_000001","BEL_t_TR_X_0075_Karta Virgines$0","0","0","0","","x_Gregorius__Homiliae"
"VER_x_0152_000001","TR_A_0034","TX_A0033_000002","BEL_s_TR_A_0034_69v_a_$1","TR_X_0076","TX_X0078_000001","","0","0","0","","x_Bartholomaeus_de_Chaimis__Confessionale"
"VER_x_0152_000002","TR_A_0027","TX_A0027_000001","BEL_s_TR_A_0027_152v_a_$0","TR_X_0076","TX_X0078_000001","","0","0","0","","x_Bartholomaeus_de_Chaimis__Confessionale"
"VER_x_0152_000003","TR_A_0022","TX_A0022_000004","BEL_s_TR_A_0022_2v_$2","TR_X_0076","TX_X0078_000002","BEL_t_TR_X_0076_Karta 104Casuspapalesetepiscopales$0","0","0","0","","x_Bartholomaeus_de_Chaimis__Confessionale"
"VER_x_0152_000004","TR_A_0022","TX_A0022_000019","BEL_s_TR_A_0022_45v_$0","TR_X_0076","TX_X0078_000002","BEL_t_TR_X_0076_Karta 104$0","0","0","0","","x_Bartholomaeus_de_Chaimis__Confessionale"
"VER_x_0152_000005","TR_A_0022","TX_A0022_000022","BEL_s_TR_A_0022_66r_$1","TR_X_0076","TX_X0078_000003","","0","0","0","","x_Bartholomaeus_de_Chaimis__Confessionale"
"VER_x_0153_000001","TR_A_0032","TX_A0032_000004","BEL_s_TR_A_0032_14v_b_$0","TR_X_0077","TX_X0079_000001","","1","0","0","Vgl. Joachimsohn S. 265. Eintrag exemplarisch; weitere Einträge vgl. unten.","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000002","TR_A_0017","TX_A0017_000020","BEL_s_TR_A_0017_145r_$2","TR_X_0077","TX_X0079_000002","BEL_t_TR_X_0077_Karta 41$0","0","0","0","Vgl. Joachimsohn S. 265.","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000003","TR_A_0007","TX_A0007_000003","BEL_s_TR_A_0007_42r_$6","TR_X_0077","TX_X0079_000003","BEL_t_TR_X_0077_Karta 133$0","0","0","0","Vgl. Joachimsohn S. 265.","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000004","TR_A_0032","TX_A0032_000065","BEL_s_TR_A_0032_227r_$5","TR_X_0077","TX_X0079_000004","BEL_t_TR_X_0077_Karta 202$0","0","0","0","Vgl. Joachimsohn S. 265.","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000005","TR_A_0032","TX_A0032_000069","BEL_s_TR_A_0032_260v_$0","TR_X_0077","TX_X0079_000005","BEL_t_TR_X_0077_Karta 226$0","0","0","0","Vgl. Joachimsohn S. 265.","x_Physiologus_et_Miracula_Mariae"
