"id","car_id","benennung","source"
"BG_0082","TR_X_0020","Libellus albus textus modus de abbreviaturis et intitulationibus iuris","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 154r"
"BG_0083","TR_X_0021","Novae Plauti Comediae","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 40v"
"BG_0084","TR_X_0021","Niger codex Plauti arcus modus","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 145r [alt 163r]"
"BG_0085","TR_X_0021","Codex russus","München, Bayerische Staatsbibliothek, Clm 17837, Bl. 229v"
"BG_0086","TR_X_0022","Aristotelis Politica","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 13rb"
"BG_0087","TR_X_0023","Eneas Senensis in suo Tractatu rhetoricali","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 103v"
"BG_0088","TR_X_0024","[Petrarca] Liber epistolarum","Basel, Universitätsbibliothek, O I 10, 221v"
"BG_0089","TR_X_0025","Thesauri fodiendi codex russus textus modus","München, Bayerische Staatsbibliothek, Clm 3564, Bl. 138va"
"BG_0090","TR_X_0026","Codex citrinus Fulgentii","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 149v"
"BG_0091","TR_X_0027","Hugitio (recte Hugutio)","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 170r"
"BG_0092","TR_X_0028","Citrinus codex operum Jheronimi et Senece","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 40v"
"BG_0093","TR_X_0029","Ysota","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 63r"
"BG_0094","TR_X_0030","Humbertus super regulam Augustini","München, Bayerische Staatsbibliothek, Clm 17836, Bl. 65vb"
"BG_0095","TR_X_0031","Speculum humane vite Rhodorici in codice Naturalium questionum Senece","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 40r"
"BG_0096","TR_X_0031","Speculum humane vite […] codex fuscus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 40v"
